source_id,workstream,source_title,note_path,note_status,claim_status,review_required,no_go_note
SRC-BCC-0001,bristol_governance,Workplace parking levy project page,evidence/source_notes/core/src-bcc-0001.md,pilot_note_created,source_note_control_only,Evidence Librarian and Officer Assurance Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-BCC-0002,bristol_governance,Further information - Bristol Workplace Parking Levy,evidence/source_notes/core/src-bcc-0002.md,pilot_note_created,source_note_control_only,Evidence Librarian and Officer Assurance Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-BCC-0003,bristol_governance,Committee Report - Workplace Parking Levy,evidence/source_notes/core/src-bcc-0003.md,pilot_note_created,source_note_control_only,Evidence Librarian and Bristol Governance Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-BCC-0004,bristol_governance,Decision notice - Transport and Connectivity Policy Committee 12 September 2024,evidence/source_notes/core/src-bcc-0004.md,pilot_note_created,source_note_control_only,Evidence Librarian and Bristol Governance Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-BCC-0006,bristol_governance,Appendix A - Feasibility Study Report for a WPL Scheme in Bristol,evidence/source_notes/core/src-bcc-0006.md,pilot_note_created,source_note_control_only,Evidence Librarian and Integrated Case Review Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-BCC-0007,equalities_and_risk,Appendix B - Equality Impact Assessment - Workplace Parking Levy OBC,evidence/source_notes/core/src-bcc-0007.md,pilot_note_created,source_note_control_only,Evidence Librarian and Equality Review Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-BCC-0014,bristol_governance,Committee Report - Workplace Parking Levy March 2026,evidence/source_notes/core/src-bcc-0014.md,pilot_note_created,source_note_control_only,Evidence Librarian and Bristol Governance Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-DFT-0001,statutory_and_business_case,Transport business case guidance,evidence/source_notes/core/src-dft-0001.md,pilot_note_created,source_note_control_only,Evidence Librarian and Appraisal Guidance Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-HMT-0001,statutory_and_business_case,The Green Book 2026,evidence/source_notes/core/src-hmt-0001.md,pilot_note_created,source_note_control_only,Evidence Librarian and Appraisal Guidance Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-LEG-0002,statutory_and_business_case,Transport Act 2000 current contents,evidence/source_notes/core/src-leg-0002.md,pilot_note_created,source_note_control_only,Evidence Librarian and Legal Review Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-WECA-0007,weca_assurance,Local Growth Assurance Framework July 2025 final,evidence/source_notes/core/src-weca-0007.md,pilot_note_created,source_note_control_only,Evidence Librarian and WECA Governance Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-NOTT-0001,nottingham_precedent,Workplace Parking Levy annual report 2023-2024,evidence/source_notes/core/src-nott-0001.md,pilot_note_created,source_note_control_only,Evidence Librarian and Comparator Evidence Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
SRC-NOTT-0002,nottingham_precedent,A decade of inspiring growth in our city - WPL report,evidence/source_notes/core/src-nott-0002.md,pilot_note_created,source_note_control_only,Evidence Librarian and Comparator Evidence Agent,Does not close ISS-0007; the full priority source-note backlog remains controlled open.
