risk_id,stage,risk,likelihood,impact,gross_rating,controls,residual_rating,owner,review_date,acceptance_authority,status
RISK-0001,Stage 2,Bristol final WPL licensing-scheme order-maker and statutory submitter route unresolved,high,critical,P0,Stage 2D controls OBC progression and FBC member route but final order-making and Secretary of State submission require legal Monitoring Officer route confirmation,high,Legal Review Agent,2026-06-26,Simulation Gate Authority,narrowed_open
RISK-0002,Stage 2,WECA MCA statutory role consent funding assurance or no-role dependency misstated,high,critical,P0,Stage 2E controls strategic-context and conditional funding-assurance wording; Stage 2F controls that current scoped repo evidence does not identify WPL-specific transferred/concurrent WECA MCA order-making; Stage 2G bounded official ModernGov search did not locate formal WPL decision; no-role consent consultation-response and funding dependency conclusions remain unresolved,high,WECA Governance Agent,2026-06-26,Simulation Gate Authority,narrowed_open
RISK-0003,Stage 2,DfT engagement confused with Secretary of State confirmation,low,major,P1,Stage 2B role map distinguishes DfT engagement from Secretary of State confirmation; DfT procedural expectations still required,medium,Legal Review Agent,2026-06-26,Simulation Gate Authority,controlled_open
RISK-0004,Stage 4,Boundary and parking-base data absent before options appraisal,high,critical,P0,Boundary manifest parking-base methodology and DPIA scope required,high,Spatial Data Agent,2026-06-25,Simulation Gate Authority,open
RISK-0005,Stage 5,OBC drafting begins before SOC-equivalent OAR ASR and ASST controls,medium,major,P1,Stage-gate plan blocks OBC assembly,medium,Appraisal Guidance Agent,2026-06-25,Simulation Gate Authority,open
RISK-0006,Stage 1,Comparator claims overstate Nottingham transferability before evidence acquisition,medium,major,P1,Comparator source acquisition and transferability matrix required,medium,Comparator Evidence Agent,2026-06-25,Simulation Gate Authority,open
RISK-0007,Stage 4,Licensing enforcement and appeals design omits statutory procedural controls,medium,major,P1,Licence and enforcement schemas added; operating procedures PCN templates and service policy still required,medium,Operations Design Agent,2026-06-25,Simulation Gate Authority,open
RISK-0008,Stage 1,Governance chronology overstates update reports as approvals,low,major,P1,Decision notices and minutes acquired; assumptions register and Stage 2D decision-route map block implementation consultation FBC order-making submission and preferred-scheme claims,low,Bristol Governance Agent,2026-06-26,Simulation Gate Authority,controlled_open
RISK-0009,Stage 1,Academic congestion evidence is unavailable after failed source acquisition,medium,major,P1,Claim matrix must omit independent congestion-reduction claims until replacement evidence is acquired,medium,Comparator Evidence Agent,2026-06-25,Simulation Gate Authority,open
RISK-0010,Stage 1,Guidance landing pages are mistaken for complete TAG or Magenta Book source packs,medium,major,P1,Source register labels landing pages and requires individual TAG units/source notes before modelling reliance,medium,Appraisal Guidance Agent,2026-06-25,Simulation Gate Authority,open
