clause_area,statutory_source,required_power_or_control,dossier_dependency,current_status,reviewer,blocker_ids
scheme_area,Transport Act 2000 s178 s179 s183,"power to make a licensing scheme and define area","boundary schedule and scheme order",blocked_control_only,Legal Review Agent,"ISS-0001;ISS-0003"
licensing_authority,Transport Act 2000 s178 s198 and local authority governance,"authority status order-maker submitter and signatory","council resolutions and statutory route memorandum",blocked_control_only,Monitoring Officer Simulation Agent,"ISS-0001"
licence_requirement,Transport Act 2000 s182 s183 and WPL Regulations 2009,"licence requirement for workplace parking places","scheme order and licensing design",blocked_control_only,Legal Review Agent,"LEGAL-004;ISS-0006"
charges_thresholds_exemptions,Transport Act 2000 s183 and WPL Regulations 2009,"charge threshold discount exemption and RPI variation controls","FBC appraisal consultation and scheme order",blocked_control_only,Legal Review Agent,"ISS-0004;LEGAL-003"
net_proceeds,Transport Act 2000 Schedule 12 and Net Proceeds Regulations 2003,"application accounting ten-year plan and five-year programme controls","financial and net-proceeds evidence",blocked_control_only,Finance Review Agent,"REQ-0006;LEGAL-017;LEGAL-019;LEGAL-020;LEGAL-021"
enforcement_penalties,WPL Regulations 2009 regs 5 to 16,"PCN representation appeal service recovery and notice controls","licensing enforcement and appeals design",blocked_control_only,Operations Design Agent,"ISS-0006;LEGAL-009;LEGAL-010;LEGAL-011;LEGAL-012"
consultation_confirmation,Transport Act 2000 s184 s185,"confirmation consultation inquiry publication and objection controls","consultation statement DfT route and statutory route memorandum",blocked_control_only,Legal Review Agent,"ISS-0008;ISS-0012;EG-0021;EG-0022"
variation_revocation,Transport Act 2000 s183 s184 and WPL Regulations 2009 reg3,"ordinary variation revocation and RPI-only variation classification","statutory route memorandum and order-change controls",blocked_control_only,Legal Review Agent,"LEGAL-003;LEGAL-004;EG-0022"
commencement_transition,Transport Act 2000 scheme-order powers and public-law controls,"commencement phasing publication transition and implementation controls","implementation and commencement plan",blocked_control_only,Operations Design Agent,"ISS-0006;RISK-0007"
monitoring_review,Transport Act 2000 Schedule 12 and scheme review controls,"monitoring evaluation reporting annual accounts and review triggers","monitoring review plan and financial statements",blocked_control_only,Evaluation Review Agent,"LEGAL-017;ISS-0003;ISS-0004"
